COD_HOSPITAL,year,n_cases,mean_los,mean_drg_weight,aggregate_caei,dea_input_vrs_score,dea_model
101100,2019,136,10.757352941176471,1.238808823529412,8.683626348840798,0.15362104468580517,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
102100,2019,151,14.960264900662251,1.337956953642384,11.181424678824836,0.11906515531923476,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
103100,2019,445,16.68314606741573,2.271485168539326,7.344598282428494,0.8312815700978012,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
104100,2019,16,19.375,1.3505812499999998,14.345675241678354,0.11707317073170728,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105100,2019,48,17.791666666666668,1.8081020833333332,9.83996801434285,0.13710591645452905,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105101,2019,102,6.784313725490196,1.5086872549019608,4.496832397467998,0.2969894972331504,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105102,2019,31,13.580645161290322,1.2261193548387097,11.076120043041644,0.14393885823007496,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
106102,2019,623,12.362760834670947,1.4684157303370786,8.419114954477534,0.5267332549360826,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
107100,2019,1466,9.819236016371077,2.751113574351978,3.569185986327005,0.9999999999999999,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
107101,2019,49,10.448979591836734,1.0462938775510204,9.986658448478984,0.1492802405558893,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
107102,2019,242,14.293388429752065,1.2415202479338843,11.512811372620677,0.1152565624549013,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
109100,2019,627,12.277511961722489,1.2458108452950558,9.855036989034,0.5729195787904198,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
109101,2019,256,14.2109375,5.058983984375,2.8090497111458355,0.9999999999999999,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
110100,2019,465,17.7505376344086,2.4901208602150535,7.1283839744531985,0.43197255632752074,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
110120,2019,73,2.4657534246575343,1.2016931506849315,2.0518993748546572,0.6573350335267526,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
111100,2019,1093,11.11344922232388,2.1419057639524244,5.188579912972647,0.7334633899253807,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
111101,2019,289,17.110726643598618,1.5296543252595156,11.186008734813779,0.12327006626446148,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
112100,2019,879,7.202502844141069,1.147885210466439,6.274584582559748,0.9034813925570216,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
112102,2019,306,16.663398692810457,4.967945424836601,3.354183121558451,0.9027217195825925,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
112103,2019,1249,11.625300240192153,3.1531951961569256,3.686831774436585,0.9657430224880323,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
113100,2019,218,10.94954128440367,1.403708256880734,7.800439465060436,0.1700882720452901,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
114101,2019,443,12.514672686230249,3.2550489841986456,3.8446956549599243,0.7930287455557006,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
114105,2019,81,12.185185185185185,1.4701814814814815,8.28821838573721,0.16175431694655248,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
115100,2019,78,12.166666666666666,1.448548717948718,8.399211235294741,0.15976291726139036,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
116100,2019,356,10.081460674157304,0.982052808988764,10.265701173991193,0.12913482304273002,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
116105,2019,678,12.13716814159292,1.4577665191740412,8.325865618363729,0.7148064169727304,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
118100,2019,2364,9.606598984771574,1.8885254230118445,5.086825344109399,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
119100,2019,639,8.422535211267606,2.6088388106416276,3.2284613280481427,0.9704218017310534,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
120101,2019,52,5.3076923076923075,1.1986192307692307,4.428172159632398,0.3109790526659091,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121109,2019,1043,12.62032598274209,2.514792042186002,5.018437219075886,0.6812882835517974,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121110,2019,453,1.260485651214128,0.9518891832229579,1.3241936912722418,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121114,2019,48,1.0,0.5791,1.7268174753928511,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121117,2019,276,2.4347826086956523,0.6660576086956521,3.655513542535328,0.5095679012345679,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
122100,2019,15,1.5333333333333334,1.02646,1.4938071949548288,0.9999999999999998,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
124105,2019,66,3.3181818181818183,1.5454696969696968,2.1470377741394695,0.626194879690139,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
125100,2019,21,3.5238095238095237,1.6575142857142857,2.125960273272083,0.6565118859532229,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
126100,2019,300,15.323333333333334,1.5800696666666667,9.697884629137661,0.15727699041499763,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
129106,2019,46,2.652173913043478,0.9185043478260869,2.8874919528912786,0.4882747497313437,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
101100,2020,143,9.412587412587413,1.361974125874126,6.910988420243548,0.8409438759087274,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
102100,2020,160,14.38125,1.269021875,11.332546966536727,0.6204021439842747,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
103100,2020,212,16.504716981132077,3.3005202830188676,5.000640979559685,0.7207809773986911,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
104100,2020,20,10.9,1.19739,9.103132646840212,0.23394495412844032,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105100,2020,89,16.303370786516854,1.689079775280899,9.652220709235332,0.4533035132181573,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105101,2020,45,10.688888888888888,1.9399133333333332,5.5099826910938745,0.14710269275463958,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105102,2020,27,6.851851851851852,1.5675074074074073,4.371176697138888,0.27567567567567564,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
106102,2020,441,11.841269841269842,1.641051700680272,7.215659224119039,0.8025510580945965,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
107100,2020,1230,11.521138211382114,2.6703656097560975,4.314442250637888,0.999999999999999,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
107101,2020,33,10.333333333333334,1.2392939393939395,8.338081067665605,0.14956011730205282,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
107102,2020,155,14.72258064516129,1.2085716129032258,12.18180245835393,0.6089990001403418,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
109100,2020,530,12.29811320754717,1.2808135849056603,9.601797913826,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
109101,2020,263,16.186311787072242,5.47520608365019,2.9562927020056957,0.9999999999999917,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
110100,2020,289,14.22491349480969,3.2488290657439447,4.378473969221384,0.6786954257921443,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
110120,2020,67,16.761194029850746,1.5092149253731344,11.105902643857535,0.21289833620749185,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
111100,2020,803,10.275217932752179,2.217538605230386,4.633614002713003,0.9441100124901116,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
111101,2020,282,15.138297872340425,1.5218656028368795,9.947197600183237,0.9999999999999997,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
112100,2020,577,7.523396880415945,1.3107476603119586,5.7397751742889795,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
112102,2020,259,20.53281853281853,5.340217760617761,3.844940310157554,0.7714801661622905,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
112103,2020,666,15.711711711711711,3.732308258258258,4.209650067608251,0.943952710091198,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
113100,2020,146,11.705479452054794,1.4680034246575342,7.973741242998481,0.4861141332381054,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
114101,2020,379,10.401055408970976,3.44204327176781,3.021767766338703,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
114105,2020,59,14.728813559322035,1.907628813559322,7.721006023095493,0.2863954700987934,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
115100,2020,116,9.75,1.7257224137931033,5.649807826607348,0.6001712943115711,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
116100,2020,281,10.982206405693951,1.3553448398576513,8.10288723779506,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
116105,2020,555,14.661261261261261,1.5387428828828829,9.528077383398148,0.9999999999999993,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
118100,2020,1828,10.672319474835886,2.138262636761488,4.991117223560376,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
119100,2020,354,7.621468926553672,2.4724850282485873,3.0825136813679417,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
120101,2020,186,10.63978494623656,1.506577419354839,7.062222498192513,0.9110303534488939,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121109,2020,445,15.453932584269664,3.023520224719101,5.111238369740161,0.646934681579016,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121110,2020,51,1.0,1.5865156862745098,0.6303120786332856,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
121117,2020,96,10.21875,1.1187520833333333,9.134061202865544,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
123100,2020,10,32.9,1.86302,17.659499092870714,0.15501519756838905,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
124105,2020,107,15.457943925233645,1.5091065420560748,10.243109743711697,0.38668795451655064,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
125100,2020,32,2.625,1.800728125,1.4577436557781314,0.6071428571428569,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
126100,2020,194,15.778350515463918,1.489037113402062,10.596344693796448,0.5634479454781023,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
129100,2020,19,5.473684210526316,1.5395842105263158,3.5553003032260935,0.4903846153846153,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
129106,2020,13,5.538461538461538,1.196646153846154,4.628320176904682,0.7083333333333333,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
101100,2021,157,9.433121019108281,1.4258668789808917,6.615709473419009,0.975253088006354,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
102100,2021,168,20.13095238095238,1.3834315476190477,14.551462568277207,0.4339135428072221,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
103100,2021,271,16.81549815498155,3.4588649446494464,4.861565404857341,0.692092350827039,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
104100,2021,13,10.23076923076923,1.4166076923076925,7.222020102194298,0.36945516176025417,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105100,2021,151,18.29139072847682,1.6703344370860929,10.950735566696599,0.509670034475417,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105101,2021,111,10.423423423423424,1.8738855855855854,5.562465234592285,0.7702281922498212,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
105102,2021,55,16.145454545454545,1.3245345454545454,12.189530730520772,0.4618563212798229,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
106102,2021,531,11.156308851224106,1.5629564971751413,7.1379522535578,1.0,input_vrs_inputs_bed_days_transfers_outputs_cases_complexity
