year,dmus,mean_score,median_score,min_score,efficient_dmus
2019,38,0.5371142912357574,0.5498264168632512,0.1152565624549013,6
2020,38,0.6906857498802382,0.7145571553660122,0.14710269275463958,12
2021,38,0.7708519371241851,0.7756698998403235,0.36945516176025417,14
2022,35,0.6838541944171113,0.6231499857467913,0.28386059688359155,10
